Dealer_ID,Dealer_State,Make,Vehicle Category,Vehicle Colour,Listing Month,Transmission Type,Fuel Type,Cylinders,Engine Size,CO2 Emissions
D004,QLD,FORD,PICKUP TRUCK - STANDARD,Silver,Apr,A6,E,6,3.5,258
D040,QLD,KIA,COMPACT,Grey,Mar,M6,X,4,1.6,175
D027,VIC,FORD,COMPACT,White,Apr,AS6,E,4,2,175
D041,VIC,BMW,SUBCOMPACT,White,Jun,AS8,Z,6,3,235
D050,NSW,ROLLS-ROYCE,COMPACT,Silver,Jul,AS8,Z,12,6.25,601.5
D019,WA,HYUNDAI,FULL-SIZE,Yellow,Feb,M6,X,4,2,207
D059,NSW,CHEVROLET,TWO-SEATER,Black,Mar,M7,Z,8,6.2,313
D011,VIC,AUDI,SUBCOMPACT,Silver,May,AM6,Z,4,2,211
D001,WA,JEEP,SUV - SMALL,Blue,Nov,M6,X,6,7.92,285
D058,VIC,BENTLEY,MID-SIZE,Green,Oct,AS8,Z,8,4,334
D002,VIC,VOLKSWAGEN,COMPACT,Blue,Apr,M6,Z,4,,212
D038,VIC,JAGUAR,MID-SIZE,Black,Feb,AS8,Z,8,5,306
D029,NSW,FORD,SPECIAL PURPOSE VEHICLE,White,Nov,AS8,E,4,2,209
D043,QLD,FORD,PICKUP TRUCK - STANDARD,Grey,May,A6,X,6,3.5,272
D020,QLD,NISSAN,STATION WAGON - MID-SIZE,White,Jun,AV7,X,6,3.5,242
D033,Unknown,VOLVO,STATION WAGON - SMALL,Green,Oct,AS8,Z,4,2,221
D047,VIC,BMW,COMPACT,White,Aug,AM7,Z,6,3,284
D005,NSW,LINCOLN,SPECIAL PURPOSE VEHICLE,Silver,Oct,AS6,X,4,2,232
D033,VIC,VOLKSWAGEN,COMPACT,Grey,Apr,AS6,X,4,2,191
D024,SA,VOLKSWAGEN,STATION WAGON - SMALL,White,Jun,M6,D,4,2,196
D040,QLD,NISSAN,COMPACT,Silver,Nov,AV,X,4,1.6,152
D003,WA,GENESIS,FULL-SIZE,Black,Nov,AS8,X,6,3.8,286
D033,VIC,ASTON MARTIN,MINICOMPACT,,Apr,A8,Z,12,5.2,324
D025,WA,PORSCHE,SUV - STANDARD,White,Jun,A8,D,6,3,270
D004,QLD,CHEVROLET,SUV - SMALL,White,Oct,A6,D,4,1.6,198
D053,WA,TOYOTA,SUV - STANDARD,Grey,Mar,AS6,X,8,5.7,380
D020,QLD,HONDA,FULL-SIZE,Blue,Mar,M6,Z,4,2,224
D002,VIC,FORD,PICKUP TRUCK - STANDARD,Unknown,Mar,AS6,E,6,3.3,245
D039,NSW,KIA,STATION WAGON - SMALL,White,Mar,M6,X,4,1.6,208
D052,NSW,MERCEDES-BENZ,COMPACT,Silver,Aug,AS7,Z,12,6,348
D034,VIC,AUDI,FULL-SIZE,White,Jul,AS8,D,6,3,224
D055,QLD,FORD,COMPACT,,Mar,A6,E,4,2,162
D030,QLD,FIAT,MINICOMPACT,Green,Sep,M5,X,4,1.4,179
D006,TAS,MINI,COMPACT,Orange,Aug,M6,Z,4,1.6,179
D038,VIC,INFINITI,MID-SIZE,Blue,Aug,AS7,Z,8,5.6,297
D049,QLD,JAGUAR,TWO-SEATER,Silver,Mar,AS8,Z,6,3,254
D016,NSW,JEEP,SUV - SMALL,Black,Dec,,X,4,2.4,240
D057,VIC,CHEVROLET,VAN - PASSENGER,White,Jan,A6,X,8,,410.5
D060,NSW,TOYOTA,SUV - SMALL,Green,Sep,AS6,X,4,2.5,210
D029,NSW,CADILLAC,STATION WAGON - SMALL,Black,Dec,AS6,X,6,3,253
D049,QLD,BMW,COMPACT,Blue,Mar,,Z,4,2,200
D048,NSW,LAND ROVER,SUV - STANDARD,Black,Oct,AS8,D,6,3,256
D049,QLD,NISSAN,STATION WAGON - SMALL,Silver,Aug,AV7,Z,4,1.6,186
D060,NSW,DODGE,FULL-SIZE,Black,Jan,A5,X,8,5.7,312
D027,VIC,FORD,SUBCOMPACT,Blue,Jan,M6,X,8,5,312
D017,VIC,MASERATI,MID-SIZE,White,Nov,AS8,Z,6,3,286
D054,QLD,VOLKSWAGEN,COMPACT,White,Nov,M5,X,4,1.8,190
D013,QLD,CADILLAC,COMPACT,Silver,Mar,AS8,Z,4,2,215
D013,QLD,MERCEDES-BENZ,COMPACT,Grey,May,A9,Z,6,3,213
D010,VIC,PORSCHE,TWO-SEATER,Yellow,Feb,M6,Z,6,2.7,232
D039,NSW,TOYOTA,PICKUP TRUCK - STANDARD,Green,Jun,AS6,X,8,4.6,329
D053,WA,HONDA,MID-SIZE,Red,Jul,M6,X,4,2.4,210
D056,WA,FORD,SUBCOMPACT,Red,May,M6,X,6,3.7,258
D045,WA,DODGE,FULL-SIZE,Silver,Apr,A8,E,6,3.6,229
D044,NSW,JEEP,SUV - SMALL,Green,Nov,A9,X,6,3.2,267
D021,QLD,DODGE,FULL-SIZE,Grey,Nov,A5,X,6,3.6,271
D053,WA,BUICK,MID-SIZE,Blue,Jan,AS8,X,6,3.6,224
D046,WA,CHEVROLET,COMPACT,Black,Dec,AS6,X,4,1.4,172
D005,NSW,PORSCHE,MINICOMPACT,Red,Jul,AM7,Z,6,3,225
D053,WA,CADILLAC,FULL-SIZE,White,May,AS6,X,6,3.6,267
D037,NSW,ROLLS-ROYCE,MID-SIZE,Grey,Jul,AS8,Z,,6.25,367
D043,QLD,MINI,SUBCOMPACT,White,Mar,AS6,Z,3,1.5,184
D003,WA,RAM,PICKUP TRUCK - STANDARD,Black,Aug,A8,X,8,5.7,325
D029,NSW,CHEVROLET,PICKUP TRUCK - STANDARD,Grey,Aug,A8,X,8,5.3,286
D046,WA,BUICK,MID-SIZE,Red,Aug,AS9,X,6,3.6,251
D011,VIC,FORD,PICKUP TRUCK - STANDARD,Blue,Aug,A6,X,6,3.5,293
D044,NSW,ASTON MARTIN,TWO-SEATER,Red,Oct,M6,Z,8,4.7,356
D058,VIC,BMW,COMPACT,Black,Oct,A8,D,4,,181
D033,VIC,GMC,SUV - STANDARD,White,Jun,A6,X,6,3.6,323
D031,QLD,BMW,FULL-SIZE,Grey,Oct,AS8,Z,6,3,230
D023,TAS,VOLKSWAGEN,COMPACT,Blue,Dec,AM7,X,4,2,202
D057,VIC,LAND ROVER,SUV - SMALL,Black,Feb,AS9,Z,4,2,225
D027,VIC,NISSAN,SUV - SMALL,Grey,Aug,AV,X,6,3.5,250
D002,VIC,MAZDA,TWO-SEATER,White,Oct,M6,Z,4,2,190
D027,VIC,MINI,SUBCOMPACT,,Mar,AS6,Z,3,1.5,172
D031,QLD,GMC,SUV - STANDARD,Black,Nov,A6,X,8,5.3,306
D008,WA,MINI,SUBCOMPACT,White,Oct,M6,Z,4,2,214
D024,SA,ASTON MARTIN,TWO-SEATER,Yellow,Jun,AM7,Z,12,6,390
D025,WA,HONDA,COMPACT,Silver,Oct,M6,Z,4,1.5,173
D038,VIC,BMW,COMPACT,Green,Jul,M6,Z,6,3,273
D008,WA,CHEVROLET,TWO-SEATER,Silver,Jun,M7,Z,8,3,368
D044,NSW,VOLKSWAGEN,MID-SIZE,White,Mar,AS6,X,4,1.8,187
D060,NSW,BMW,FULL-SIZE,Grey,Feb,AS8,Z,8,4.4,292
D019,WA,VOLVO,STATION WAGON - SMALL,White,Dec,AS8,Z,4,2,219
D008,WA,VOLVO,MID-SIZE,Silver,Oct,AS8,Z,4,2,206
D035,VIC,LEXUS,SUV - STANDARD,Silver,Aug,AV6,Z,6,3.5,190
D060,NSW,ALFA ROMEO,TWO-SEATER,Black,Apr,AM6,Z,4,1.8,197
D026,NSW,VOLKSWAGEN,COMPACT,Black,Nov,AM6,D,4,2,177
D057,VIC,VOLKSWAGEN,COMPACT,White,May,M6,D,4,2,176
D033,VIC,JAGUAR,TWO-SEATER,,Nov,AS8,Z,6,3,242
D027,VIC,CADILLAC,STATION WAGON - SMALL,Silver,Dec,AS6,Z,8,6.2,382
D042,WA,CADILLAC,COMPACT,White,May,AS8,Z,,2,222
D016,NSW,BMW,SUBCOMPACT,Black,Jul,AS8,Z,4,2,205
D025,WA,KIA,STATION WAGON - MID-SIZE,Brown,May,M6,X,4,2,214
D044,NSW,MERCEDES-BENZ,STATION WAGON - SMALL,Grey,Sep,AM7,Z,4,2,192
D058,VIC,BUICK,FULL-SIZE,Black,Oct,,Z,4,2,227
D058,VIC,FORD,PICKUP TRUCK - STANDARD,Silver,Jul,AS6,E,6,3.3,263
D012,SA,CHEVROLET,SUV - SMALL,Grey,Oct,A6,D,4,1.6,199
D006,TAS,CHEVROLET,MID-SIZE,White,Feb,M6,D,4,1.6,180
D011,VIC,PORSCHE,MINICOMPACT,Silver,Dec,AM7,Z,6,3,228
D017,VIC,GMC,SUV - STANDARD,Blue,Dec,A6,E,8,5.3,298
D033,VIC,CHEVROLET,SUV - SMALL,Grey,Nov,A9,Z,4,2,228
D049,QLD,FORD,SUBCOMPACT,Grey,May,AS6,X,6,3.7,253
D009,NSW,MASERATI,FULL-SIZE,Silver,Feb,AS8,Z,8,3.8,322
D020,QLD,BUICK,MID-SIZE,White,May,AS9,Z,4,2,214
D038,VIC,TOYOTA,SUV - STANDARD,Blue,Jul,AS6,X,6,3.5,267
D019,WA,BMW,COMPACT,Black,Nov,AM7,Z,6,3,284
D033,VIC,LAMBORGHINI,TWO-SEATER,Blue,Jun,AM7,Z,10,5.2,370
D043,QLD,LEXUS,SUBCOMPACT,Yellow,Jul,AS6,Z,6,3.5,262
D008,WA,HYUNDAI,COMPACT,Black,May,M6,X,4,2,198
D038,VIC,PORSCHE,FULL-SIZE,Black,Aug,AM8,Z,6,2.9,261
D024,SA,BMW,SUV - STANDARD,Blue,Jun,AS8,Z,8,4.4,341
D057,VIC,BMW,COMPACT,,Aug,AS8,D,4,2,183
D027,VIC,MERCEDES-BENZ,SUBCOMPACT,Silver,Oct,AS7,Z,6,3.5,239
D034,VIC,AUDI,SUV - SMALL,White,Mar,AS8,Z,6,3,276
D056,WA,HONDA,MINIVAN,Red,Aug,AS10,X,6,3.5,248
D024,SA,BMW,SUBCOMPACT,White,Sep,AS8,Z,6,,237
D006,TAS,KIA,MID-SIZE,Grey,Apr,AS6,X,4,2.4,147
D054,QLD,BMW,SUV - SMALL,Blue,Apr,AS8,Z,4,2,210
D059,NSW,PORSCHE,TWO-SEATER,Blue,Jul,M6,Z,6,4,352
D022,VIC,PORSCHE,MINICOMPACT,Black,May,AM7,Z,6,3.8,253
D038,VIC,MAZDA,COMPACT,Red,Dec,AS6,X,4,2.5,183
D012,SA,MINI,SUBCOMPACT,Silver,Apr,M6,Z,4,2,203
D012,SA,BMW,COMPACT,Black,Aug,AS8,Z,6,3,183
D054,QLD,BUICK,MID-SIZE,Silver,Dec,M6,Z,4,2,225
D011,VIC,BUICK,SUV - STANDARD,White,Jul,A6,X,6,3.6,323
D057,VIC,TOYOTA,SUV - STANDARD,Black,Mar,AV6,X,6,3.5,193
D037,NSW,GMC,PICKUP TRUCK - STANDARD,Silver,Feb,A6,X,6,4.3,318
D028,NSW,BMW,COMPACT,White,Apr,M6,Z,4,2,211
D046,WA,MASERATI,MID-SIZE,Black,Aug,AS8,Z,6,3,286
D015,VIC,CHEVROLET,SUV - STANDARD,White,Mar,A6,X,8,5.3,317
D026,NSW,MERCEDES-BENZ,TWO-SEATER,Blue,Nov,AM7,Z,8,4,327
D036,NSW,TOYOTA,MID-SIZE,Green,Feb,M6,X,4,1.8,185
D049,QLD,ACURA,COMPACT,Black,Aug,AM8,Z,4,2.4,191
D007,QLD,KIA,SUV - SMALL,Silver,May,AS6,X,6,3.3,289
D028,NSW,MERCEDES-BENZ,SUV - STANDARD,Black,Nov,AS7,Z,8,4.7,335
D054,QLD,INFINITI,MID-SIZE,Blue,Jan,AS7,Z,6,3.7,275
D051,NSW,MINI,MID-SIZE,Black,Nov,AS6,Z,3,1.5,195
D037,NSW,JAGUAR,TWO-SEATER,Black,Apr,AS8,Z,6,3,244
D033,VIC,MERCEDES-BENZ,SPECIAL PURPOSE VEHICLE,Silver,Jul,A7,Z,4,2,248
D022,VIC,HYUNDAI,SUV - SMALL,Black,Mar,A6,X,6,3.3,267
D056,WA,DODGE,FULL-SIZE,Blue,Nov,A8,Z,8,6.2,338
D058,VIC,BMW,COMPACT,Silver,Jul,M6,Z,6,3,237
D039,NSW,MERCEDES-BENZ,SUV - STANDARD,Red,Aug,AS7,D,6,3,278
D014,WA,TOYOTA,MID-SIZE,White,Sep,AV7,X,4,1.8,178
D015,VIC,PORSCHE,SUV - STANDARD,Green,Apr,AS8,Z,6,2.9,275
D040,QLD,AUDI,SUV - SMALL,Silver,Nov,AS8,D,,3,244
D015,VIC,MINI,MINICOMPACT,Orange,Jul,AM7,Z,4,2,191
D045,WA,VOLKSWAGEN,MID-SIZE,Blue,Mar,M5,X,4,1.8,193
D054,QLD,AUDI,MID-SIZE,White,Mar,AM7,Z,6,3,226
D028,NSW,MERCEDES-BENZ,FULL-SIZE,,Oct,AS7,Z,8,5.5,313
D021,QLD,FORD,SUV - STANDARD,Red,Oct,AS6,X,6,3.5,305
D046,WA,NISSAN,COMPACT,Brown,Apr,M5,X,4,1.6,186
D048,NSW,HONDA,MID-SIZE,White,Nov,AV,X,4,2.4,179
D018,NSW,MERCEDES-BENZ,SUV - STANDARD,Blue,May,A9,Z,8,4.7,317
D009,NSW,CADILLAC,FULL-SIZE,Silver,Sep,AS6,X,6,3.6,262
D016,NSW,HYUNDAI,SUV - SMALL,Black,Nov,AS6,X,6,3.3,295
D006,TAS,CHEVROLET,PICKUP TRUCK - SMALL,Red,Nov,A6,X,4,2.5,263
D015,VIC,HONDA,STATION WAGON - SMALL,Blue,Jun,,X,4,1.5,172
D039,NSW,TOYOTA,MID-SIZE,Black,Jan,AS8,X,4,2.5,175
D046,WA,JEEP,SUV - SMALL,White,Dec,A9,X,4,1.3,204
D034,VIC,INFINITI,SUBCOMPACT,Blue,Nov,AS7,Z,6,3,259
D032,TAS,JAGUAR,FULL-SIZE,Red,Jun,AS8,Z,,3,210
D060,NSW,BMW,SUBCOMPACT,White,Jul,AS8,Z,6,3,235
D031,QLD,HONDA,STATION WAGON - SMALL,Blue,Dec,M6,X,4,1.5,174
D035,VIC,FORD,COMPACT,White,Jun,M5,X,4,2,196
D052,NSW,GMC,PICKUP TRUCK - STANDARD,White,Sep,A8,X,8,5.3,307
D059,NSW,BMW,COMPACT,Grey,Jun,M6,Z,6,3,230
D037,NSW,NISSAN,COMPACT,Silver,Nov,M5,X,4,1.6,177
D046,WA,MAZDA,COMPACT,White,Jun,AS6,X,4,2,180
D019,WA,VOLVO,SUV - SMALL,Black,Feb,AS6,X,5,2.5,254
D053,WA,JEEP,SUV - SMALL,Green,Aug,A9,X,4,2.4,232
D010,VIC,PORSCHE,MINICOMPACT,Blue,Nov,M7,Z,6,3,243
D036,NSW,INFINITI,SUV - SMALL,Silver,Mar,AS7,Z,6,3.7,294
D006,TAS,RAM,PICKUP TRUCK - STANDARD,Black,Sep,A8,X,6,3.6,279
D024,SA,BMW,COMPACT,Black,Apr,AS8,Z,6,3,216
D008,WA,FORD,SUV - STANDARD,White,Sep,AS6,X,6,3.5,280
D040,QLD,JEEP,SUV - SMALL,Grey,Mar,A9,X,4,2.4,230
D057,VIC,VOLKSWAGEN,SUV - STANDARD,White,Nov,AS8,X,6,3.6,287
D008,WA,FORD,SUV - STANDARD,Yellow,Mar,AS6,X,4,2.3,265
D018,NSW,BMW,COMPACT,Silver,Jan,,Z,6,3,238
D032,TAS,GMC,PICKUP TRUCK - STANDARD,White,Jul,A8,Z,8,6.2,327
D054,QLD,CHEVROLET,PICKUP TRUCK - STANDARD,Silver,Jul,A6,X,8,5.3,410.5
D048,NSW,TOYOTA,STATION WAGON - MID-SIZE,White,Nov,AV,X,4,1.8,129
D010,VIC,FORD,PICKUP TRUCK - STANDARD,White,Aug,AS10,X,8,5,286
D004,QLD,CHEVROLET,PICKUP TRUCK - STANDARD,Green,Nov,,X,6,4.3,274
D009,NSW,BMW,COMPACT,,Apr,,Z,6,3,267
D011,VIC,DODGE,MID-SIZE,Red,Mar,A8,Z,8,6.25,302
D004,QLD,VOLKSWAGEN,COMPACT,Yellow,Apr,AM6,Z,4,2,196
D009,NSW,CHEVROLET,PICKUP TRUCK - STANDARD,Silver,Mar,A10,D,12,3,238
D059,NSW,PORSCHE,MINICOMPACT,White,Oct,AM7,Z,6,3,230
D036,NSW,FORD,VAN - PASSENGER,Grey,Jun,AS6,X,6,3.5,338
D021,QLD,BMW,SUV - SMALL,Silver,May,AS8,Z,4,2,213
D009,NSW,CHEVROLET,COMPACT,Blue,Mar,AS8,Z,4,2,218
D006,TAS,VOLVO,SUV - SMALL,Blue,Jun,AS8,Z,4,2,232
D019,WA,BENTLEY,SUBCOMPACT,Silver,Jun,AS8,Z,8,4,314
D051,NSW,NISSAN,TWO-SEATER,Black,Jul,AS7,Z,6,3.7,271
D056,WA,GMC,SUV - SMALL,Orange,Sep,A6,E,6,3.6,259
D055,QLD,GMC,PICKUP TRUCK - STANDARD,White,Jul,A6,X,8,5.3,298
D005,NSW,BUICK,MID-SIZE,Grey,Oct,AS8,X,6,3.6,235
D013,QLD,LAMBORGHINI,SUV - STANDARD,Grey,Apr,AS8,Z,8,4,384
D037,NSW,NISSAN,PICKUP TRUCK - STANDARD,Grey,Jul,AS7,X,8,,312
D052,NSW,KIA,SUV - SMALL,Silver,Apr,AS6,X,4,2.4,234
D014,WA,KIA,MID-SIZE,White,Sep,AS6,X,4,2,228
D031,QLD,TOYOTA,SUV - STANDARD,Grey,Apr,AS5,X,6,4,297
D047,VIC,TOYOTA,COMPACT,Grey,Apr,AV10,X,4,2,158
D031,QLD,FORD,SUV - SMALL,Red,Jan,AS6,E,4,2.5,219
D004,QLD,FORD,PICKUP TRUCK - STANDARD,Red,Apr,AS10,D,6,3,288
D053,WA,BMW,COMPACT,Red,Jun,AS8,Z,6,3,231
D051,NSW,GMC,SUV - SMALL,White,Mar,A6,E,6,3.6,272
D002,VIC,JAGUAR,MINICOMPACT,Silver,Oct,AS6,Z,8,5,308
D036,NSW,VOLVO,STATION WAGON - MID-SIZE,Blue,Jul,AS8,Z,,2,233
D041,VIC,FORD,SPECIAL PURPOSE VEHICLE,Grey,Oct,AS6,X,4,2.5,228
D027,VIC,ASTON MARTIN,MINICOMPACT,Grey,Aug,A6,Z,12,5.9,359
D037,NSW,ASTON MARTIN,SUBCOMPACT,Red,Jul,A8,Z,12,6,331
D041,VIC,HONDA,SUV - SMALL,Black,Apr,AV,X,4,2.4,179
D037,Unknown,GMC,PICKUP TRUCK - SMALL,Silver,May,A6,D,4,2.8,270
D036,NSW,KIA,FULL-SIZE,White,Aug,AS8,X,8,5,318
D045,WA,CHEVROLET,PICKUP TRUCK - STANDARD,White,Mar,A6,X,8,5.3,292
D012,SA,LEXUS,MID-SIZE,Silver,Dec,AS8,Z,8,4.6,303
D029,NSW,TOYOTA,SUV - SMALL,Black,Mar,AS6,X,4,2.5,205
D052,NSW,MERCEDES-BENZ,COMPACT,White,Feb,A9,Z,4,2,219
D024,SA,DODGE,MID-SIZE,Black,Dec,A6,X,,2.4,212
D024,SA,SUBARU,COMPACT,Silver,Feb,M5,X,4,2,197
D018,NSW,CHEVROLET,FULL-SIZE,,Oct,AS6,X,4,2.5,212
D060,NSW,FIAT,MINICOMPACT,Grey,Dec,A6,X,4,1.4,198
D029,NSW,VOLKSWAGEN,COMPACT,,May,A6,D,4,2,200
D002,VIC,DODGE,FULL-SIZE,Grey,Apr,A8,E,6,3.6,237
D038,VIC,CHEVROLET,PICKUP TRUCK - STANDARD,Silver,Sep,A10,Z,8,6.2,321
D046,WA,MERCEDES-BENZ,SUBCOMPACT,Black,Jul,A9,Z,6,3,245
D053,WA,PORSCHE,MINICOMPACT,Red,Jul,M7,Z,6,3,242
D016,NSW,RAM,PICKUP TRUCK - STANDARD,Silver,Nov,A8,E,6,3.6,283
D018,NSW,JEEP,SUV - SMALL,Blue,Sep,A5,X,6,3.6,294
D057,VIC,MITSUBISHI,COMPACT,Blue,Nov,,X,3,1.2,138
D039,NSW,FORD,SUV - SMALL,Blue,Sep,A8,X,3,1.5,196
